,artist,country,year,song,sexual orientation or gender identity,points,place,lgbtqia+
7,Patrick Juvet,Switzerland,1973,"je vais me marier, marie",Bisexual[b][5],79,12,1
21,Piasek,Poland,2001,2long,Gay[b],11,20,1
24,Julia Volkova[h],Russia,2003,"ne ver', ne boysia",Bisexual,164,3,1
28,Jonatan Cerrada,France,2004,à chaque pas,Gay[19],40,15,1
33,Marija Šerifović,Serbia,2007,molitva  (молитва),Lesbian[b][24],268,1,1
34,Olga Seryabkina and Elena Temnikova[k],Russia,2007,song #1,Bisexuals[b],207,3,1
46,Duncan James and  Lee Ryan[r],United Kingdom,2011,i can,Gay (James)[31] Bisexual (Ryan)[32],100,11,1
95,Nemo,Switzerland,2024,the code,Non-binary gender[w][76] and pansexual[77],591,1,1
98,Red Sebastian,Belgium,2025,strobe lights,Gay[81],TBA,TBA,1
99,Marko Bošnjak,Croatia,2025,poison cake,Gay[82],TBA,TBA,1
100,Adonxs,Czech Republic,2025,kiss kiss goodbye,Queer[83],TBA,TBA,1
101,Erika Vikman,Finland,2025,ich komme,Queer[84][85],TBA,TBA,1
102,Miriana Conte,Malta,2025,serving,Queer[86],TBA,TBA,1
